,period,year,month,total_rainfall,no_of_rainy_days,mean_temp,mean_sunshine_hrs,mean_rh,maximum_rainfall_in_a_day,wet_bulb_temperature,RSI(sales_value)
180,2000-01,2000,1,275.2,14,26.3,4.0,86.9,127.6,24.77795698924731,61.7
181,2000-02,2000,2,237.8,18,26.6,5.8,86.5,39.9,25.18807471264368,60.6
182,2000-03,2000,3,238.3,15,27.2,5.8,85.8,37.9,25.226344086021506,60.8
183,2000-04,2000,4,311.6,20,27.5,5.3,85.6,87.4,25.54152777777778,65.3
184,2000-05,2000,5,96.8,10,28.6,6.8,82.4,36.7,25.83844086021505,66.7
185,2000-06,2000,6,157.5,16,27.6,4.6,84.3,41.7,25.372916666666665,70.4
186,2000-07,2000,7,116.1,12,28.1,6.5,82.6,34.6,25.601075268817205,69.8
187,2000-08,2000,8,113.5,18,27.5,5.1,83.8,28.1,25.536021505376343,68.8
188,2000-09,2000,9,81.1,12,28.0,6.2,82.2,25.7,25.48013888888889,72.1
189,2000-10,2000,10,120.9,14,27.8,4.0,82.1,38.3,25.467741935483872,66.6
190,2000-11,2000,11,385.7,21,27.3,3.7,87.1,72.0,25.54861111111111,73.1
191,2000-12,2000,12,236.0,18,27.0,4.2,87.6,45.8,25.37217741935484,72.5
192,2001-01,2001,1,425.8,21,26.5,4.4,87.4,125.4,25.215725806451612,73.9
193,2001-02,2001,2,86.6,11,27.0,4.8,83.6,28.2,25.14122023809524,75.3
194,2001-03,2001,3,297.3,20,27.5,5.4,84.5,41.1,25.518413978494625,76.8
195,2001-04,2001,4,203.3,18,27.7,5.3,86.0,68.9,25.692222222222224,73.5
196,2001-05,2001,5,164.9,12,28.5,6.0,85.0,56.1,26.10739247311828,75.1
197,2001-06,2001,6,137.1,11,28.2,4.9,82.5,49.6,25.580833333333334,72.0
198,2001-07,2001,7,111.3,9,28.4,8.1,80.8,44.8,25.538575268817205,69.1
199,2001-08,2001,8,158.3,14,28.0,4.9,83.7,36.6,25.638037634408605,77.6
200,2001-09,2001,9,162.0,13,28.0,6.2,82.3,74.3,25.582222222222224,69.2
201,2001-10,2001,10,252.2,20,27.6,4.4,83.7,77.2,25.523655913978494,69.9
202,2001-11,2001,11,175.3,15,27.2,3.7,84.9,102.6,25.182222222222222,72.4
203,2001-12,2001,12,609.0,20,26.7,4.5,86.8,211.1,25.096639784946237,72.1
204,2002-01,2002,1,221.2,11,27.0,6.9,83.6,83.8,25.145698924731185,71.6
205,2002-02,2002,2,50.8,2,27.3,7.4,80.9,41.7,25.252083333333335,70.2
206,2002-03,2002,3,55.6,8,28.2,7.6,80.8,26.4,25.766129032258064,76.6
207,2002-04,2002,4,116.5,13,28.6,6.6,82.3,39.4,26.032777777777774,71.8
208,2002-05,2002,5,236.6,13,28.9,6.2,82.3,75.9,26.2372311827957,67.9
209,2002-06,2002,6,83.1,12,28.7,6.3,82.1,45.8,26.018055555555556,68.7
210,2002-07,2002,7,233.7,11,28.4,6.8,82.7,69.5,25.74811827956989,73.1
211,2002-08,2002,8,54.2,14,28.5,6.7,79.2,17.8,25.583736559139783,73.0
212,2002-09,2002,9,124.2,9,28.1,5.5,81.7,38.9,25.592777777777776,70.4
213,2002-10,2002,10,10.8,7,28.7,6.2,79.8,3.2,25.628091397849463,71.4
214,2002-11,2002,11,307.2,15,27.4,4.6,85.8,84.0,25.465694444444445,73.5
215,2002-12,2002,12,255.0,24,27.2,4.8,88.7,38.6,25.659274193548388,79.2
216,2003-01,2003,1,444.2,20,26.7,4.7,86.9,194.4,25.225403225806453,71.4
217,2003-02,2003,2,172.9,13,27.1,5.8,85.0,82.2,25.320535714285718,73.2
218,2003-03,2003,3,154.6,11,28.1,6.9,83.8,38.3,25.734274193548387,70.3
219,2003-04,2003,4,159.9,20,27.9,5.1,86.7,42.9,25.985277777777778,73.6
220,2003-05,2003,5,81.8,11,29.2,5.8,81.7,33.0,26.293279569892473,80.7
221,2003-06,2003,6,50.3,12,28.9,7.0,78.5,23.2,25.732777777777777,75.9
222,2003-07,2003,7,170.4,14,28.1,5.6,81.7,30.9,25.875537634408605,80.3
223,2003-08,2003,8,193.6,13,28.2,6.1,83.1,64.4,25.686155913978496,78.9
224,2003-09,2003,9,205.3,15,27.6,5.0,84.8,60.0,25.59347222222222,82.3
225,2003-10,2003,10,351.4,21,27.6,5.1,84.9,56.6,25.5875,82.8
226,2003-11,2003,11,133.8,19,27.1,4.2,87.3,41.3,25.451944444444447,82.5
227,2003-12,2003,12,273.0,17,26.5,3.9,87.2,92.1,25.036962365591396,89.1
228,2004-01,2004,1,600.9,13,26.9,6.7,86.7,177.8,25.15604838709677,85.0
229,2004-02,2004,2,31.9,4,27.6,7.7,80.5,19.2,25.012931034482758,97.7
230,2004-03,2004,3,269.4,16,27.7,4.8,85.8,122.8,25.92190860215054,87.4
231,2004-04,2004,4,57.1,9,28.9,7.0,82.3,18.1,26.162361111111114,85.8
232,2004-05,2004,5,137.6,13,28.9,6.0,82.1,73.4,26.077956989247312,87.3
233,2004-06,2004,6,127.2,8,29.0,6.3,79.8,68.1,26.006111111111114,89.5
234,2004-07,2004,7,166.6,20,27.3,4.2,85.3,34.3,25.386827956989247,87.6
235,2004-08,2004,8,185.2,8,28.3,7.3,80.3,111.5,25.645430107526884,88.4
236,2004-09,2004,9,128.9,14,27.8,5.9,83.6,29.1,25.514166666666668,89.4
237,2004-10,2004,10,125.6,13,27.8,5.0,83.9,25.3,25.63427419354839,92.7
238,2004-11,2004,11,166.2,15,27.3,5.8,86.1,62.4,25.50027777777778,92.4
239,2004-12,2004,12,139.8,14,26.8,4.9,85.2,36.4,25.10981182795699,90.0
240,2005-01,2005,1,163.2,8,26.6,6.5,83.3,96.7,24.878629032258065,94.7
241,2005-02,2005,2,8.4,3,28.5,9.1,77.7,7.2,25.65892857142857,94.7
242,2005-03,2005,3,82.4,12,28.5,7.2,80.3,20.5,25.83239247311828,95.9
243,2005-04,2005,4,81.7,10,28.7,7.0,81.0,49.6,26.06027777777778,97.0
244,2005-05,2005,5,331.1,20,28.5,5.5,84.6,58.7,26.123252688172045,94.9
245,2005-06,2005,6,82.3,15,28.8,5.4,82.7,27.6,25.933055555555555,96.9
246,2005-07,2005,7,104.0,15,28.0,5.4,84.0,26.3,25.713844086021503,97.7
247,2005-08,2005,8,58.5,13,28.2,6.5,82.9,13.8,25.764919354838707,98.6
248,2005-09,2005,9,175.7,18,28.2,6.2,84.2,43.4,25.808611111111112,98.9
249,2005-10,2005,10,314.5,19,27.6,5.1,85.2,76.2,25.58306451612903,101.2
250,2005-11,2005,11,362.9,23,27.3,4.4,86.4,133.8,25.501944444444447,97.0
251,2005-12,2005,12,166.0,19,27.3,4.5,85.6,47.3,25.482526881720432,100.3
252,2006-01,2006,1,454.4,20,26.5,4.8,87.8,131.7,25.120026881720428,95.5
253,2006-02,2006,2,115.5,8,27.5,7.4,84.0,44.5,25.558333333333334,101.3
254,2006-03,2006,3,83.1,9,28.3,7.1,81.3,35.7,25.816129032258065,103.7
255,2006-04,2006,4,239.8,18,27.6,5.3,87.0,43.3,25.794722222222223,102.9
256,2006-05,2006,5,205.7,14,28.1,5.0,85.2,36.6,25.9130376344086,107.2
257,2006-06,2006,6,236.8,16,27.8,5.5,86.3,37.3,25.879722222222224,103.1
258,2006-07,2006,7,153.8,15,28.4,6.9,83.8,54.8,25.959139784946235,103.0
259,2006-08,2006,8,127.3,14,28.3,6.7,81.9,30.4,25.859005376344083,103.5
260,2006-09,2006,9,83.3,12,28.0,5.3,81.0,32.2,25.474305555555556,105.1
261,2006-10,2006,10,102.0,8,28.3,4.8,80.9,37.8,25.723521505376343,105.1
262,2006-11,2006,11,185.6,18,27.3,5.6,87.4,64.0,25.52583333333333,109.8
263,2006-12,2006,12,765.9,22,26.6,3.2,88.5,198.0,25.1122311827957,108.2
264,2007-01,2007,1,450.1,20,26.5,4.1,86.8,143.8,24.74489247311828,109.5
265,2007-02,2007,2,105.5,3,27.3,7.6,82.5,51.4,25.287351190476187,106.7
266,2007-03,2007,3,269.1,21,27.5,5.8,84.9,68.8,25.542876344086025,108.0
267,2007-04,2007,4,240.2,14,28.1,5.9,84.7,102.4,25.753055555555555,108.0
268,2007-05,2007,5,127.2,16,28.3,5.5,84.8,21.9,25.862903225806452,110.6
269,2007-06,2007,6,139.0,12,28.4,6.0,82.8,38.0,25.877361111111114,118.6
270,2007-07,2007,7,141.7,19,27.7,3.8,84.8,23.0,25.50201612903226,100.7
271,2007-08,2007,8,190.7,20,27.7,5.7,82.9,55.9,25.393145161290324,108.0
272,2007-09,2007,9,149.0,13,27.8,5.8,83.3,52.1,25.618333333333336,109.2
273,2007-10,2007,10,237.2,16,27.8,5.6,83.2,51.8,25.33225806451613,107.1
274,2007-11,2007,11,367.9,21,26.9,3.5,86.5,60.1,25.35125,105.0
275,2007-12,2007,12,468.6,20,26.4,4.5,86.8,159.0,25.086693548387096,106.3
276,2008-01,2008,1,262.6,19,26.8,6.1,86.0,123.1,25.108736559139786,107.8
277,2008-02,2008,2,129.2,8,26.7,5.5,82.9,48.5,24.757902298850574,110.2
278,2008-03,2008,3,294.1,16,26.5,4.3,87.1,48.1,25.073790322580646,106.7
279,2008-04,2008,4,87.2,13,28.1,6.0,82.0,34.2,25.546944444444442,109.9
