month,level_1,value
1997-01,Total,51.6
1997-01,Total (Excluding Motor Vehicles),70.8
1997-02,Total,47.1
1997-02,Total (Excluding Motor Vehicles),68.7
1997-03,Total,48.5
1997-03,Total (Excluding Motor Vehicles),68.6
1997-04,Total,49.6
1997-04,Total (Excluding Motor Vehicles),69.5
1997-05,Total,49.5
1997-05,Total (Excluding Motor Vehicles),67.6
1997-06,Total,50
1997-06,Total (Excluding Motor Vehicles),70.5
1997-07,Total,52.6
1997-07,Total (Excluding Motor Vehicles),73
1997-08,Total,49.8
1997-08,Total (Excluding Motor Vehicles),69.7
1997-09,Total,50.6
1997-09,Total (Excluding Motor Vehicles),67.7
1997-10,Total,48.7
1997-10,Total (Excluding Motor Vehicles),67.5
1997-11,Total,46.8
1997-11,Total (Excluding Motor Vehicles),68
1997-12,Total,46.6
1997-12,Total (Excluding Motor Vehicles),65.2
1998-01,Total,47
1998-01,Total (Excluding Motor Vehicles),64.1
1998-02,Total,47.9
1998-02,Total (Excluding Motor Vehicles),62.7
1998-03,Total,39
1998-03,Total (Excluding Motor Vehicles),63.9
1998-04,Total,52.6
1998-04,Total (Excluding Motor Vehicles),65.8
1998-05,Total,46.8
1998-05,Total (Excluding Motor Vehicles),63.2
1998-06,Total,46
1998-06,Total (Excluding Motor Vehicles),63.2
1998-07,Total,46.8
1998-07,Total (Excluding Motor Vehicles),60.8
1998-08,Total,45.2
1998-08,Total (Excluding Motor Vehicles),61.9
1998-09,Total,43.2
1998-09,Total (Excluding Motor Vehicles),61.2
1998-10,Total,44.7
1998-10,Total (Excluding Motor Vehicles),62.8
1998-11,Total,46.6
1998-11,Total (Excluding Motor Vehicles),61.5
1998-12,Total,50.5
1998-12,Total (Excluding Motor Vehicles),63.4
1999-01,Total,46.7
1999-01,Total (Excluding Motor Vehicles),64.7
1999-02,Total,47.7
1999-02,Total (Excluding Motor Vehicles),65.8
1999-03,Total,49.4
1999-03,Total (Excluding Motor Vehicles),65.5
1999-04,Total,50.9
1999-04,Total (Excluding Motor Vehicles),66.1
1999-05,Total,52.1
1999-05,Total (Excluding Motor Vehicles),67.9
1999-06,Total,55.2
1999-06,Total (Excluding Motor Vehicles),67.8
1999-07,Total,52.7
1999-07,Total (Excluding Motor Vehicles),68.7
1999-08,Total,58.1
1999-08,Total (Excluding Motor Vehicles),69.5
1999-09,Total,59.7
1999-09,Total (Excluding Motor Vehicles),69.6
1999-10,Total,59.4
1999-10,Total (Excluding Motor Vehicles),69.6
1999-11,Total,57.9
1999-11,Total (Excluding Motor Vehicles),69.1
1999-12,Total,58.2
1999-12,Total (Excluding Motor Vehicles),69.3
2000-01,Total,61.7
2000-01,Total (Excluding Motor Vehicles),70.9
2000-02,Total,60.6
2000-02,Total (Excluding Motor Vehicles),72.4
2000-03,Total,60.8
2000-03,Total (Excluding Motor Vehicles),71.8
2000-04,Total,65.3
